Fauna/Flora;Grupo;Família;Espécie (Simplificado);Nome Comum;Categoria de Ameaça;Sigla Categoria de Ameaça;Bioma;Principais Ameaças;Presença em Áreas Protegidas;Plano de Ação Nacional para Conservação (PAN);Ordenamento Pesqueiro ;Nível de Proteção na Estratégia Nacional;Espécie exclusiva do Brasil;Estados de Ocorrência
Fauna;Invertebrados Aquáticos;Latrunculiidae;Latrunculia (Biannulata) janeirensis;Esponja;Vulnerável (VU);VU;Marinho;"Especies Exoticas; Poluição";Sim;Sim;Não;2;Sim;RJ
Fauna;Peixes Continentais;Lebiasinidae;Lebiasina marilynae;Desconhecido;Vulnerável (VU);VU;Amazônia;Outras Atividades Econômicas:Energia;Não;Sim;Não;1;Sim;PA
Fauna;Peixes Continentais;Lebiasinidae;Lebiasina melanoguttata;Desconhecido;Vulnerável (VU);VU;Amazônia;Outras Atividades Econômicas:Energia;Não;Sim;Não;1;Sim;PA
Fauna;Peixes Continentais;Lebiasinidae;Lebiasina minuta;Desconhecido;Vulnerável (VU);VU;Amazônia;Outras Atividades Econômicas:Energia;Não;Sim;Não;1;Sim;PA
Fauna;Invertebrados Terrestres;Chelodesmidae;Leodesmus yporangae;Piolho-de-cobra;Criticamente em Perigo (CR);CR;Mata Atlântica;Outras Atividades Econômicas:Turismo;Sim;Não;Não;2;Sim;SP
Fauna;Mamíferos;Callitrichidae;Leontopithecus caissara;Mico-leão-da-cara-preta;Em Perigo (EN);EN;Mata Atlântica;"Assentamento Humano:cidades; Outras Atividades Econômicas:Turismo";Sim;Sim;Não;4;Sim;"PR; SP"
Fauna;Mamíferos;Callitrichidae;Leontopithecus chrysomelas;Mico-leão-da-cara-dourada;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades; Assentamento Humano:rurais; Outras Atividades Econômicas:Transporte";Sim;Sim;Não;3;Sim;"BA; MG; RJ"
Fauna;Mamíferos;Callitrichidae;Leontopithecus chrysopygus;Mico-leão-preto;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Assentamento Humano:rurais; Queimadas";Sim;Sim;Não;3;Sim;"PR; SP"
Fauna;Mamíferos;Callitrichidae;Leontopithecus rosalia;Mico-leão-dourado;Em Perigo (EN);EN;Mata Atlântica;"Assentamento Humano:cidades; Assentamento Humano:rurais; Especies Exoticas; Outras Atividades Econômicas:Transporte; Queimadas";Sim;Sim;Não;3;Sim;RJ
Fauna;Mamíferos;Felidae;Leopardus colocolo;Gato-palheiro;Vulnerável (VU);VU;"Cerrado; Pampa; Pantanal";"Agropecuária; Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Transporte";Sim;Sim;Não;3;Não;"BA; DF; GO; MA; MG; MS; MT; PI; RS; SP; TO"
